difficulty;question;answer1;answer2;answer3;answer4;correctAnswer;partsWorld
0;Яка столиця Норвегії?;Осло;Берн;Варшава;Гельсінкі;Осло;Європа
0;Яка столиця Болгарії?;Будапешт;Бухарест;Софія;Київ;Софія;Європа
0;Яка столиця Швейцарії?;Цюрих;Берн;Женева;Відень;Берн;Європа
1;Яка столиця Афганістану?;Кабул;Ташкент;Душанбе;Бішкек;Кабул;Азія
1;Яка столиця Пакистану?;Ісламабад;Тегеран;Дамаск;Бішкек;Ісламабад;Азія
1;Яка столиця Таїланд?;Бангок;Найп'їдо;В'єнтьян;Ханой;Бангок;Азія
2;Яка столиця Венесуели?;Богота;Каракас;Акра;Кіто;Каракас;Південна Америка
2;Яка столиця Перу?;Бразиліа;Асунсйон;Ліма;Монтевідео;Ліма;Південна Америка
2;Яка столиця Коста-Ріка?;Гватемала;Сальвадор;Манагуа;Сан-Хосе;Сан-Хосе;Південна Америка
3;Яка столиця Лівії?;Туніс;Алжир;Каїр;Тріполі;Тріполі;Африка
3;Яка столиця Чаду?;Кано;Нджамена;Яунде;Камерун;Нджамена;Африка
3;Яка столиця Кот-д'Івуар?;Абіджан;Монровія;Конакрі;Бісау;Абіджан;Африка
