2023-03-30T14:34:47.614Z, User: Vitalii, Given questions: 0, Correct questions: 0
2023-03-30T14:34:51.173Z, User: Vitalii, Given questions: 1, Correct questions: 1
2023-03-30T14:35:19.991Z, User: Vitalii, Given questions: 2, Correct questions: 2
2023-03-30T14:35:23.286Z, User: Vitalii, Given questions: 3, Correct questions: 3
2023-03-30T14:35:25.828Z, User: Vitalii, Given questions: 4, Correct questions: 4
2023-03-30T14:36:05.428Z, User: Vitalii, Given questions: 0, Correct questions: 0
2023-03-30T14:36:09.011Z, User: Vitalii, Given questions: 1, Correct questions: 0
2023-03-30T14:43:04.090Z, User: Vitalii, Given questions: 0, Correct questions: 0
2023-03-30T14:43:06.285Z, User: Vitalii, Given questions: 1, Correct questions: 1
2023-03-30T14:43:06.914Z, User: Vitalii, Given questions: 2, Correct questions: 2
2023-03-30T14:43:59.955Z, User: vs, Given questions: 0, Correct questions: 0
2023-03-30T14:44:01.877Z, User: vs, Given questions: 1, Correct questions: 1
2023-03-30T14:44:03.883Z, User: vs, Given questions: 2, Correct questions: 2
2023-03-30T14:44:34.429Z, User: vs, Given questions: 0, Correct questions: 0
2023-03-30T14:44:35.494Z, User: vs, Given questions: 1, Correct questions: 1
2023-03-30T14:44:36.925Z, User: vs, Given questions: 2, Correct questions: 2
2023-03-30T14:44:38.468Z, User: vs, Given questions: 3, Correct questions: 3
2023-03-31T06:34:38.138Z, User: vs, Given questions: 0, Correct questions: 0
2023-03-31T06:35:04.305Z, User: ds, Given questions: 0, Correct questions: 0
2023-03-31T06:35:07.080Z, User: ds, Given questions: 1, Correct questions: 1
2023-03-31T06:37:44.660Z, User: s, Given questions: 0, Correct questions: 0
2023-03-31T06:37:45.899Z, User: s, Given questions: 1, Correct questions: 1
2023-03-31T06:37:48.169Z, User: s, Given questions: 2, Correct questions: 2
2023-03-31T06:38:37.653Z, User: s, Given questions: 0, Correct questions: 0
2023-03-31T06:38:50.575Z, User: 1, Given questions: 0, Correct questions: 0
2023-03-31T06:46:00.879Z, User: s, Given questions: 0, Correct questions: 0
2023-03-31T06:46:13.341Z, User: v, Given questions: 0, Correct questions: 0
2023-03-31T06:47:09.113Z, User: v, Given questions: 0, Correct questions: 0
2023-03-31T07:00:41.507Z, User: Vitalii, Given questions: 0, Correct questions: 0
2023-03-31T07:00:45.230Z, User: Vitalii, Given questions: 1, Correct questions: 1
2023-03-31T07:00:48.105Z, User: Vitalii, Given questions: 2, Correct questions: 2
2023-03-31T07:01:51.271Z, User: Vitalii, Given questions: 0, Correct questions: 0
2023-03-31T07:01:53.537Z, User: Vitalii, Given questions: 1, Correct questions: 1
2023-03-31T07:03:29.822Z, User: Vitalii, Given questions: 0, Correct questions: 0
2023-03-31T07:03:30.880Z, User: Vitalii, Given questions: 1, Correct questions: 1
2023-03-31T07:03:33.527Z, User: Vitalii, Given questions: 2, Correct questions: 2
2023-03-31T07:03:35.331Z, User: Vitalii, Given questions: 3, Correct questions: 3
2023-03-31T07:03:36.524Z, User: Vitalii, Given questions: 4, Correct questions: 4
2023-03-31T07:03:57.580Z, User: italii, Given questions: 0, Correct questions: 0
2023-03-31T07:03:58.897Z, User: italii, Given questions: 1, Correct questions: 1
2023-03-31T07:04:27.421Z, User: Vitalii, Given questions: 0, Correct questions: 0
2023-03-31T07:04:28.897Z, User: Vitalii, Given questions: 1, Correct questions: 1
2023-03-31T07:04:30.607Z, User: Vitalii, Given questions: 2, Correct questions: 2
2023-03-31T07:05:27.090Z, User: Vitalii, Given questions: 0, Correct questions: 0
2023-03-31T07:06:57.922Z, User: vitalii, Given questions: 0, Correct questions: 0
2023-03-31T07:07:02.015Z, User: vitalii, Given questions: 1, Correct questions: 1
2023-03-31T07:07:04.695Z, User: vitalii, Given questions: 2, Correct questions: 2
